demand_share,correlation,lever,pairwise_corr,corr_tv_demand,tv_bias_%,meta_bias_%,search_bias_%,mean_bias_%,mean_cv_%,n_clients,bias_sd_across_clients_%,bias_se_%,typical_abs_bias_%,mean_lambda,lambda_spread,budget_x_b0.4,budget_x_b0.6,budget_x_b0.8,lambda_p10,lambda_p90,budget_x_b0.4_p10,budget_x_b0.4_p90,budget_x_b0.6_p10,budget_x_b0.6_p90,budget_x_b0.8_p10,budget_x_b0.8_p90
0.75,0.4,TV alone +/-80%,0.39074109472289303,0.5454974769116304,14.999985253646418,43.19503630377501,35.11983646531768,31.104952674246373,11.619086910590923,32,5.020246963777665,0.8874626678295907,31.104952674246373,1.3110495267424638,0.28195051050128606,1.5704779029735036,1.9681026459384972,3.8734280249501145,1.2525169756937031,1.3599881815086827,1.4553676144004979,1.6693929168867006,1.755735417236482,2.1569390204530747,3.0826072868476677,4.6523870593774665
1.0,0.4,unphased,0.38607780134285247,0.630728475429833,64.20187051632993,40.70046456821517,33.3534639431183,46.08526634255446,13.460843690837473,32,5.974716449151284,1.0561906292154208,46.08526634255447,1.4608526634255448,0.3084840657321166,1.8808061137004979,2.57938423859141,6.65322305029379,1.392222736873181,1.5347071125478855,1.7358603983025929,2.0419387067251775,2.2870343017473496,2.9178597407020153,5.230561078355717,8.51394762739933
1.0,0.4,+/-20%,0.38607780134285247,0.6307284754298329,59.28353987398856,37.63249923243505,32.36354409946128,43.093194401961625,12.66639721519912,32,5.478386941110473,0.9684511390057605,43.093194401961625,1.4309319440196162,0.26919995774527283,1.817041995770209,2.449330820516877,5.999221468333879,1.3710901720544366,1.5142389308380666,1.692167949875147,1.9967637979616624,2.201229828639345,2.8215974002440283,4.8454256062786,7.961956995862049
1.0,0.4,+/-40%,0.38607780134285247,0.6307284754298329,50.21297751831319,31.61971526126706,28.425980033159945,36.75289093758006,11.062820655202534,32,4.8349226732078385,0.854701652184463,36.75289093758006,1.3675289093758007,0.21786997485153248,1.6848485172197143,2.18696226759933,4.782803959903206,1.3095673072727045,1.4318449947302594,1.5675210933890653,1.818975925249878,1.9625501024158334,2.4532451070298165,3.8516382736626715,6.018454217297677
1.0,0.4,+/-80%,0.38607780134285247,0.6307284754298329,31.34419087962199,19.32251266845847,17.455728118453656,22.70747722217804,8.246447587312232,32,3.7596348499012042,0.6646158242876022,22.707477222178035,1.2270747722217803,0.1388846276116833,1.4064308336863498,1.667929033753789,2.7819872616388492,1.1743586963591057,1.2693752451446256,1.3071780308673715,1.4881614206929,1.4945221227550214,1.815411422076155,2.2336037260674324,3.2957186827195963
1.0,0.4,Blackout,0.38607780134285247,0.6307284754298329,19.550447429368894,12.589405597408533,11.206234526359687,14.448695851045706,7.118954919244689,32,2.921173859925213,0.5163954613445,14.448695851045702,1.1444869585104571,0.08344212903009196,1.2522318539208612,1.4012870889885485,1.9636055057660002,1.1018800262823691,1.178658928293926,1.1755153313898636,1.3151650761330906,1.2745322563406587,1.5082399287205734,1.6246230442115455,2.2747886980381966
1.0,0.4,TV alone +/-80%,0.38607780134285247,0.6307284754298329,17.625851400587806,49.58258218692332,40.6241298078953,35.94418779846881,11.197842826728937,32,4.5967592050762285,0.8125999013477712,35.94418779846881,1.359441877984688,0.31956730786335497,1.6682753798412095,2.154773425839592,4.643048516704493,1.2978026049875646,1.4177264245795174,1.5441225298258776,1.7891805374800949,1.9187744946750511,2.3932135392490608,3.681761886945164,5.727487088088812
0.0,0.55,unphased,0.5430093623507664,0.007488894570585836,-3.249103225748513,6.7745273225417595,-2.232815968574982,0.43086937607275483,55.45732984895047,32,9.485072488312433,1.6767397691329202,8.045025453350691,1.0043086937607275,0.10023630548290274,1.0071914651383576,1.0108065684639234,1.0217299188498123,0.8820463244073732,1.129516429125125,0.8112630019534386,1.2250766825413109,0.7307354445581091,1.3560062292352073,0.5341070416515098,1.8391713132303111
0.0,0.55,+/-20%,0.5430093623507665,0.0074888945705858375,-2.5510299987313267,4.79418451937823,-0.58497964369205,0.552724958984951,24.884343741016952,32,8.163452503216874,1.4431081557297367,6.990835198207593,1.0055272495898493,0.07345214518109555,1.0092290447387855,1.0138754588720826,1.0279434461030759,0.9130489200961919,1.1084711828264595,0.8593246389286355,1.1872463029672324,0.7965937073562838,1.293634277965051,0.6345701196421558,1.673496009407127
0.0,0.55,+/-40%,0.5430093623507665,0.0074888945705858375,-1.0373336595741705,2.9896617897605253,0.4200369735467494,0.7907883679110347,17.697439944910418,32,6.524529099788761,1.1533846926273983,5.760425955909545,1.0079078836791104,0.040269954493346916,1.0132145171442424,1.0198871160023268,1.0401697293875436,0.9305896071941825,1.0874478338303561,0.8870158162516203,1.1499548490954532,0.8354086911438269,1.2331653432870937,0.6979265354701165,1.520699438865391
0.0,0.55,+/-80%,0.5430093623507665,0.0074888945705858375,0.24324174670146947,1.4938853244455867,0.8994492983003222,0.8788587898157928,10.775101315582377,32,3.955336968459078,0.6992113980688138,3.453072864641724,1.008788587898158,0.01250643577744115,1.014690515426037,1.0221165052903511,1.0447221503869604,0.9598936304742871,1.053250449718052,0.9340547105498922,1.090321851841201,0.9027330575968217,1.1385070824410177,0.8149368527946732,1.2962634086911176
0.0,0.55,Blackout,0.5430093623507665,0.0074888945705858375,-0.25694418125344953,0.931882364196306,0.5094546085789384,0.39479759717393165,8.585598859528957,32,2.884071368806107,0.5098366055771916,2.3296183849893404,1.0039479759717393,0.011888265454497504,1.0065886153340167,1.0098991838638773,1.0198963615689256,0.9702022866699422,1.0461703128121396,0.950832767774977,1.0781289207051368,0.9271645224950728,1.119453670510638,0.8596411436919271,1.2531779124796447
0.0,0.55,TV alone +/-80%,0.5430093623507665,0.0074888945705858375,-0.5752285381977873,5.795239886702441,-2.159063807503914,1.0203158470002467,19.14209065434302,32,7.101109260968782,1.2553106280944046,5.2552538299756275,1.0102031584700024,0.07954303694206344,1.0170630345726104,1.0257034235187945,1.0520675130181756,0.9440107532461693,1.086284111207076,0.9084427644350848,1.1479051253758603,0.8658673820121677,1.2298708897304407,0.7497788788863848,1.5125934379727752
0.25,0.55,unphased,0.544191933650313,0.37040187444407885,34.13134758500988,26.8574737405823,18.70525795028292,26.564693091958365,21.98740340107752,32,9.160681161889123,1.6193949424649148,26.564693091958368,1.2656469309195837,0.15426089634726958,1.480883692073046,1.80211053636794,3.247602385288345,1.1296309555227562,1.3777147359704396,1.2253311709734456,1.7058753642263813,1.3565297834534942,2.228173488758661,1.8414600949812727,4.966636582745011
0.25,0.55,+/-20%,0.544191933650313,0.3704018744440789,32.101070639989935,23.664510534582245,19.251851407910774,25.00581086082765,18.682354623711884,32,7.918469066240901,1.3998007933387124,25.00581086082765,1.2500581086082765,0.12849219232079157,1.4506088940234578,1.7471311376223628,3.0524672120496126,1.151699064685325,1.338706731307698,1.2654114066582298,1.626082750706809,1.4234680379542413,2.0735494503558267,2.0262641332074147,4.299632946163823
0.25,0.55,+/-40%,0.544191933650313,0.3704018744440789,27.672996780173055,19.016159124527704,17.137588768754025,21.27558155781826,14.38006276994897,32,6.233726432492941,1.1019775581193958,21.27558155781826,1.2127558155781826,0.10535408011419034,1.3791842104104897,1.6196956459769474,2.6234139855966814,1.1336744267537773,1.2888065794255406,1.232594400027561,1.526323859550446,1.3684915748910786,1.885692554660561,1.8730802390624226,3.555877830045914
